NAME,CODE,HIERARCHY,IS_GROUP,CHILDREN,LEVEL_NAME,PARENT,LEVEL_NUMBER,OFFICIAL_LEVEL_NAME
Pune,PUNE,ALL#WORLD#ASIA#IND#PUNE,False,,CITY,IND,1,STATE
Dahej,DAHEJ,ALL#WORLD#ASIA#IND#WESTI#GUJAR#DAHEJ,False,,CITY,IND,3,DISTRICT
Western Greece,GRC_WEST,ALL#WORLD#EUR#GRC#GRC_WEST,False,,NATIONAL_REGION,GRC,1,ADMINISTRATIVE REGION
Lemesos,LEME,ALL#WORLD#ASIA#CYP#LEME,False,,CITY,CYP,1,DISTRICT
Oxelosund,OXEL,ALL#WORLD#EUR#SWE#OXEL,False,,CITY,SWE,1,COUNTY
Rengat,RENGAT,ALL#WORLD#ASIA#IDN#RIAU#RENGAT,False,,CITY,IDN,2,REGENCY
Januaria,JANUARIA,ALL#WORLD#SOAME#BRA#BRANE#MINAS#JANUARIA,False,,CITY,BRA,3,CITY
Bunbury,PORT_AUBUY,ALL#WORLD#OCE#AUS#PORT_AUBUY,False,,PORT_TERMINAL,AUS,1,PORT_TERMINAL
Glasson Dock,GLASSON,ALL#WORLD#EUR#GBR#GLASSON,False,,CITY,GBR,1,COUNTRY
Pirot District,RS226,ALL#WORLD#EUR#SRB#RS2#RS22#RS226,False,,DEPARTMENT,SRB,3,DEPARTMENT
 Brookings 2 Ne SD,BROOKLISOUTHDA,ALL#WORLD#NOAME#USA#NOPLA#SODAK#BROOKLISOUTHDA,False,,CITY,USA,3,CITY
Itapipoca,ITAPIPOCA,ALL#WORLD#SOAME#BRA#BRACW#CEARA#ITAPIPOCA,False,,CITY,BRA,3,CITY
Cambé,CAMBE,ALL#WORLD#SOAME#BRA#BRASO#PARAN#CAMBE,False,,CITY,BRA,3,CITY
Cairu,CAIRU,ALL#WORLD#SOAME#BRA#BRACW#BAHIA#CAIRU,False,,CITY,BRA,3,CITY
ATZ Extra-Regio NUTS 1,ATZ,ALL#WORLD#EUR#AUT#ATZ,False,,NATIONAL_REGION,AUT,1,STATE
Baden-Württemberg,DE1,ALL#WORLD#EUR#DEU#DE1,False,,NATIONAL_REGION,DEU,1,STATE
Thừa Thiên Huế,THURA_THIEN_HUE,ALL#WORLD#ASIA#VNM#THURA_THIEN_HUE,False,,REGION,VNM,1,PROVINCE
Lautoka,LAUTK,ALL#WORLD#OCE#FJI#LAUTK,False,,PORT_TERMINAL,FJI,1,PORT_TERMINAL
Pontevedra,ES114,ALL#WORLD#EUR#ESP#ES1#ES11#ES114,False,,DEPARTMENT,ESP,3,COMARCA
Lands of Trás-os-Montes,PT11E,ALL#WORLD#EUR#PRT#PT1#PT11#PT11E,False,,DEPARTMENT,PRT,3,FREGUESIA
Port of Cotonou,COTONOU,ALL#WORLD#AFR#BEN#COTONOU,False,,PORT_TERMINAL,BEN,1,PORT_TERMINAL
Petaling District,PETALING,ALL#WORLD#ASIA#MYS#PETALING,False,,FEDERAL_DISTRICT,MYS,1,FEDERAL TERRITORY
Alchadi,ALCHD,ALL#WORLD#EUR#GRC#ALCHD,False,,CITY,GRC,1,ADMINISTRATIVE REGION
Fürstenfeldbruck,FRSTENFELDBRUCK---GER,ALL#WORLD#EUR#DEU#BAVAR#FRSTENFELDBRUCK---GER,False,,TERRITORY,DEU,2,DISTRICT
Zhangjiagang,PORT_CNZJG,ALL#WORLD#ASIA#CHN#PORT_CNZJG,False,,PORT_TERMINAL,CHN,1,PORT_TERMINAL
Nea Moudania,NEAM,ALL#WORLD#EUR#GRC#NEAM,False,,CITY,GRC,1,ADMINISTRATIVE REGION
Valencian Community,ES52,ALL#WORLD#EUR#ESP#ES5#ES52,False,,REGION,ESP,2,PROVINCE
Poizzallo,POIZZ,ALL#WORLD#EUR#ITA#POIZZ,False,,CITY,ITA,1,REGION
Duluth MN,PORT_USSUW,ALL#WORLD#NOAME#USA#PORT_USSUW,False,,PORT_TERMINAL,USA,1,PORT_TERMINAL
Formiga,FORMIGA,ALL#WORLD#SOAME#BRA#BRANE#MINAS#FORMIGA,False,,CITY,BRA,3,CITY
Prešov Region,SK041,ALL#WORLD#EUR#SVK#SVK#SK0#SK04#SK041,False,,DEPARTMENT,SVK,4,DEPARTMENT
Bueno Brandão,BUENO_BRAND,ALL#WORLD#SOAME#BRA#BRANE#MINAS#BUENO_BRAND,False,,CITY,BRA,3,CITY
Azores,PRT_AZORES,ALL#WORLD#EUR#PRT#PRT_AZORES,False,,REGION,PRT,1,AUTONOMOUS REGION
Sao Miguel Do Oeste,SAO_MIGUEL_DO_OESTE,ALL#WORLD#SOAME#BRA#BRASO#SANTA#SAO_MIGUEL_DO_OESTE,False,,CITY,BRA,3,CITY
Argeș,RO311,ALL#WORLD#EUR#ROU#RO3#RO31#RO311,False,,DEPARTMENT,ROU,3,DEPARTMENT
La Rioja,ES230,ALL#WORLD#EUR#ESP#ES2#ES23#ES230,False,,DEPARTMENT,ESP,3,COMARCA
Kutahya,KTHY,ALL#WORLD#ASIA#TUR#KTHY,False,,STATE,TUR,1,PROVINCE
Hampshire and Isle of Wight,GBR_HAMP_ISLEWIGHT,ALL#WORLD#EUR#GBR#GBR_HAMP_ISLEWIGHT,False,,REGION,GBR,1,DISTRICT
Kırıkkale,TR711,ALL#WORLD#ASIA#TUR#TR7#TR71#TR711,False,,DEPARTMENT,TUR,3,DEPARTMENT
Capelinha,CAPELINHA,ALL#WORLD#SOAME#BRA#BRANE#MINAS#CAPELINHA,False,,CITY,BRA,3,CITY
Artenay,ARTEN,ALL#WORLD#EUR#FRA#ARTEN,False,,CITY,FRA,1,METROPOLITAN REGION
Klagenfurt-Villach,AT211,ALL#WORLD#EUR#AUT#AT2#AT21#AT211,False,,DEPARTMENT,AUT,3,DEPARTMENT
Spree-Neisse,DE40G,ALL#WORLD#EUR#DEU#DE4#DE40#DE40G,False,,DEPARTMENT,DEU,3,MUNICIPALITY
Ahrweiler,AHRWEILER--GER,ALL#WORLD#EUR#DEU#RHINE#AHRWEILER--GER,False,,TERRITORY,DEU,2,DISTRICT
Krasnodar Krai,PORT_RUKRR,ALL#WORLD#EUR#RUS#PORT_RUKRR,False,,PORT_TERMINAL,RUS,1,PORT_TERMINAL
Münster,DEU_NW_MUN,ALL#WORLD#EUR#DEU#DE-NW#DEU_NW_MUN,False,,CITY,DEU,2,DISTRICT
Lower Franconia,DEU_BAV_LOWFRANC,ALL#WORLD#EUR#DEU#BAVAR#DEU_BAV_LOWFRANC,False,,DEPARTMENT,DEU,2,DISTRICT
Osvaldo Cruz,OSVALDOCRUZ,ALL#WORLD#SOAME#BRA#BRANE#SAOPO#OSVALDOCRUZ,False,,CITY,BRA,3,CITY
Charleroi PA,CHAPEN,ALL#WORLD#NOAME#USA#NOEAS#PENNS#CHAPEN,False,,CITY,USA,3,CITY
Palmeira do Piauí,PALMERIRPIAUI,ALL#WORLD#SOAME#BRA#BRACW#PIAUI#PALMERIRPIAUI,False,,CITY,BRA,3,CITY
Massa-Carrara,ITI11,ALL#WORLD#EUR#ITA#ITI#ITI1#ITI11,False,,DEPARTMENT,ITA,3,MUNICIPALITY
Whiteville,WHITE,ALL#WORLD#NOAME#USA#APPAL#NOCAR#WHITE,False,,CITY,USA,3,CITY
Bitung,BITUNG,ALL#WORLD#ASIA#IDN#BITUNG,False,,CITY,IDN,1,GEOGRAPHICAL UNIT
CENTRAL NORTH SANTA FE,CN_SANTA_FE,ALL#WORLD#SOAME#ARG#CN_SANTA_FE,False,,REGION,ARG,1,CITY
Clevelandia,CLEVELANDIA,ALL#WORLD#SOAME#BRA#BRASO#PARAN#CLEVELANDIA,False,,CITY,BRA,3,CITY
Riau Islands,RIAS,ALL#WORLD#ASIA#IDN#RIAS,False,,REGION,IDN,1,SPECIAL REGION
Jim Falls WI,JIMFALWI,ALL#WORLD#NOAME#USA#EASCB#WISCO#JIMFALWI,False,,CITY,USA,3,CITY
Santa cruz de tenerife,CRUZ,ALL#WORLD#EUR#ESP#CRUZ,False,,CITY,ESP,1,AUTONOMOUS COMMUNITY
Central Panhandle TX,CPTX,ALL#WORLD#NOAME#USA#SOPLA#TEXAS#CPTX,False,,REGION,USA,3,REGION
Flensburg (Independent City),DEF01,ALL#WORLD#EUR#DEU#DEF#DEF0#DEF01,False,,DEPARTMENT,DEU,3,MUNICIPALITY
Zaragoza,ES243,ALL#WORLD#EUR#ESP#ES2#ES24#ES243,False,,DEPARTMENT,ESP,3,COMARCA
Northern Netherlands,NL1,ALL#WORLD#EUR#NLD#NL1,False,,NATIONAL_REGION,NLD,1,PROVINCE
NORTH BELT,N_BELT,ALL#WORLD#SOAME#ARG#N_BELT,False,,NATIONAL_REGION,ARG,1,CITY
Western Slovenia,SI04,ALL#WORLD#EUR#SVN#SI0#SI04,False,,REGION,SVN,2,REGION
Port of Agadir,PORT_AGA,ALL#WORLD#AFR#MAR#PORT_AGA,False,,CITY,MAR,1,REGION
Saudi Arabia - Persian Gulf,SAUPERS,ALL#WORLD#ASIA#SAU#SAUPERS,False,,REGION,SAU,1,REGION
Gann Valley SD,GANNVALESD,ALL#WORLD#NOAME#USA#NOPLA#SODAK#GANNVALESD,False,,CITY,USA,3,CITY
Bagaevskaya,BAGAE,ALL#WORLD#EUR#RUS#SOUFD#ROSFS#BAGAE,False,,CITY,RUS,3,THIRD-LEVEL ADMINISTRATIVE DIVISION
Yancheng,YANCHENG,ALL#WORLD#ASIA#CHN#JIANG#YANCHENG,False,,CITY,CHN,2,PREFECTURE-LEVEL DIVISION
Bom Jesus da Lapa,BOM_JESUS_LAP,ALL#WORLD#SOAME#BRA#BRACW#BAHIA#BOM_JESUS_LAP,False,,CITY,BRA,3,CITY
Yalta District,UA44A,ALL#WORLD#EUR#UKR#UA4#UA44#UA44A,False,,DEPARTMENT,UKR,3,DEPARTMENT
Northeast IN,NEIN,ALL#WORLD#NOAME#USA#EASCB#INDIA#NEIN,False,,REGION,USA,3,REGION
Kinta District,KINTA,ALL#WORLD#ASIA#MYS#KINTA,False,,FEDERAL_DISTRICT,MYS,1,FEDERAL TERRITORY
Detmold,DEA4,ALL#WORLD#EUR#DEU#DEA#DEA4,False,,REGION,DEU,2,DISTRICT
Malden Municipal,MML,ALL#WORLD#NOAME#USA#WECB#MISSO#MML,False,,CITY,USA,3,CITY
Montreal,PORT_CAMTR,ALL#WORLD#NOAME#CAN#PORT_CAMTR,False,,PORT_TERMINAL,CAN,1,PORT_TERMINAL
Ludwigslust-Parchim District,LUDWIGSLUST-PARCHIMDISTRICT---GER,ALL#WORLD#EUR#DEU#MECKL#LUDWIGSLUST-PARCHIMDISTRICT---GER,False,,TERRITORY,DEU,2,DISTRICT
Borken,BORKEN--GER,ALL#WORLD#EUR#DEU#NRHWE#BORKEN--GER,False,,TERRITORY,DEU,2,DISTRICT
Tarjun,PORT_IDTAR,ALL#WORLD#ASIA#IDN#PORT_IDTAR,False,,PORT_TERMINAL,IDN,1,PORT_TERMINAL
